Club,Squad,age,Players playing abroad,Total market value,market value,Total Points
Juventus FC ,27,28.8,19,$984.96m,36.48,16
SSC Napoli,27,27.1,20,$713.41m,26.42,12
Inter Milan,27,27.1,13,$610.93m,22.63,18
AC Milan,25,25.6,16,$582.54m,23.3,6
AS Roma,26,27.1,16,$470.42m,18.09,11
SS Lazio ,32,26.8,24,$332.03m,10.38,10
Atalanta BC,22,27.1,18,$287.39m,13.06,13
ACF Fiorentina,31,25.1,22,$286.14m,9.23,8
Torino FC,27,26.5,14,$262.68m,9.73,9
Cagliari Calcio,28,28,14,$193.20m,6.9,10
US Sassuolo,27,26,13,$180.92m,6.7,6
UC Sampdoria,26,26,14,$176.56m,6.79,3
Udinese Calcio,25,26.1,20,$168.15m,6.73,7
Genoa CFC,28,26.6,17,$156.81m,5.6,5
Bologna FC 1909,24,27.2,17,$109.21m,4.55,8
Brescia Calcio  ,28,26.3,8,$104.85m,3.74,6
Parma Calcio 1913,26,27.7,11,$98.98m,3.81,9
SPAL,26,27.3,13,$82.79m,3.18,3
Hellas Verona  ,32,25.7,15,$54.49m,1.7,6
US Lecce  ,32,26.5,12,$52.87m,1.65,6
